variable,scale,scenario,temperature,data,model
'NEP','GLB','SSP126',1.899815465,-1780.551951,'CanESM5'
'NEP','GLB','SSP126',1.924742145,-246.8128758,'CanESM5'
'NEP','GLB','SSP126',1.750054945,1011.664164,'CanESM5'
'NEP','GLB','SSP126',1.773379425,2128.887393,'CanESM5'
'NEP','GLB','SSP126',1.817533159,-145.7429477,'CanESM5'
'NEP','GLB','SSP126',1.661340588,-632.0227245,'CanESM5'
'NEP','GLB','SSP126',1.814265025,976.5835142,'CanESM5'
'NEP','GLB','SSP126',1.840404152,-1720.410344,'CanESM5'
'NEP','GLB','SSP126',1.717732595,-1338.652739,'CanESM5'
'NEP','GLB','SSP126',1.592486008,2136.287718,'CanESM5'
'NEP','GLB','SSP126',1.775931845,-1256.450382,'CanESM5'
'NEP','GLB','SSP126',1.75614996,716.1122746,'CanESM5'
'NEP','GLB','SSP126',1.689504799,2968.247315,'CanESM5'
'NEP','GLB','SSP126',1.833352976,-295.4486732,'CanESM5'
'NEP','GLB','SSP126',1.895112126,-2372.329828,'CanESM5'
'NEP','GLB','SSP126',1.776781953,-1100.372114,'CanESM5'
'NEP','GLB','SSP126',1.853891905,567.445061,'CanESM5'
'NEP','GLB','SSP126',1.815699131,-297.2992963,'CanESM5'
'NEP','GLB','SSP126',1.98524172,-1771.093916,'CanESM5'
'NEP','GLB','SSP126',1.85492392,-1669.182657,'CanESM5'
'NEP','GLB','SSP126',1.795777319,-314.993676,'CanESM5'
'NEP','GLB','SSP126',1.885692624,598.3340212,'CanESM5'
'NEP','GLB','SSP126',1.837540517,-2786.797083,'CanESM5'
'NEP','GLB','SSP126',1.766401135,-2201.553252,'CanESM5'
'NEP','GLB','SSP126',1.841763354,-1073.34794,'CanESM5'
'NEP','GLB','SSP126',1.746283396,102.6167118,'CanESM5'
'NEP','GLB','SSP126',1.960559211,-2705.87671,'CanESM5'
'NEP','GLB','SSP126',1.702518213,-853.1182304,'CanESM5'
'NEP','GLB','SSP126',1.718445859,-4076.619928,'CanESM5'
'NEP','GLB','SSP126',2.034693594,-7874.110032,'CanESM5'
'NEP','GLB','SSP126',1.946494889,-10134.02814,'CanESM5'
'NEP','GLB','SSP126',1.775279165,-2886.105978,'CanESM5'
'NEP','GLB','SSP126',1.491710191,1189.255594,'CanESM5'
'NEP','GLB','SSP126',1.524016041,-288.3325069,'CanESM5'
'NEP','GLB','SSP126',1.541081933,-4957.585905,'CanESM5'
'NEP','GLB','SSP126',1.645149741,-2786.634993,'CanESM5'
'NEP','GLB','SSP126',1.624232473,-1418.96001,'CanESM5'
'NEP','GLB','SSP126',1.668942465,-2623.49936,'CanESM5'
'NEP','GLB','SSP126',1.636710607,-3206.513087,'CanESM5'
'NEP','GLB','SSP126',1.600311465,-4107.736851,'CanESM5'
'NEP','GLB','SSP126',1.688676895,-5783.882607,'CanESM5'
